"Protein","Module","Module_Name"
"LTF","grey","M17_grey"
"LUZP2","turquoise","M1_turquoise"
"LY6E","turquoise","M1_turquoise"
"LY75","grey","M17_grey"
"LY86","grey","M17_grey"
"LY96","tan","M3_tan"
"LYPD6B","turquoise","M1_turquoise"
"LYSMD3","turquoise","M1_turquoise"
"MAG","red","M9_red"
"MAMDC2","tan","M3_tan"
"MAN1A2","turquoise","M1_turquoise"
"MAN1C1","black","M7_black"
"MAN2B1","black","M7_black"
"MAN2B2","black","M7_black"
"MANBA","black","M7_black"
"MANEAL","turquoise","M1_turquoise"
"MANF","grey","M17_grey"
"MANSC1","turquoise","M1_turquoise"
"MAP1B","pink","M5_pink"
"MAP2","pink","M5_pink"
"MAPK1","pink","M5_pink"
"MARCKSL1","pink","M5_pink"
"MARCO","tan","M3_tan"
"MASP2","blue","M2_blue"
"MAT2A","pink","M5_pink"
"MATN2","tan","M3_tan"
"MATN3","grey","M17_grey"
"MB","purple","M15_purple"
"MBL2","blue","M2_blue"
"MBP","grey","M17_grey"
"MCMBP","blue","M2_blue"
"MDGA1","cyan","M14_cyan"
"MDGA2","greenyellow","M13_greenyellow"
"MDH2","yellow","M6_yellow"
"MDK","black","M7_black"
"ME1","pink","M5_pink"
"MEGF11","midnightblue","M12_midnightblue"
"MELTF","blue","M2_blue"
"MENT","grey","M17_grey"
"MEPE","turquoise","M1_turquoise"
"MERTK","grey","M17_grey"
"MESD","turquoise","M1_turquoise"
"MET","greenyellow","M13_greenyellow"
"METRN","tan","M3_tan"
"METRNL","tan","M3_tan"
"MFAP4","tan","M3_tan"
"MFNG","grey","M17_grey"
"MGAT2","grey","M17_grey"
"MGAT3","grey","M17_grey"
"MGAT4B","turquoise","M1_turquoise"
"MGAT5","midnightblue","M12_midnightblue"
"MGRN1","turquoise","M1_turquoise"
"MIA","tan","M3_tan"
"MIA3","green","M11_green"
"MIF","pink","M5_pink"
"MILR1","grey","M17_grey"
"MLEC","turquoise","M1_turquoise"
"MMP14","tan","M3_tan"
"MMP16","turquoise","M1_turquoise"
"MMP17","turquoise","M1_turquoise"
"MMP3","grey","M17_grey"
"MOXD1","red","M9_red"
"MPI","blue","M2_blue"
"MPZ","tan","M3_tan"
"MRC2","grey","M17_grey"
"MSLN","grey","M17_grey"
"MSN","salmon","M10_salmon"
"MSTN","midnightblue","M12_midnightblue"
"MT1F","turquoise","M1_turquoise"
"MT1HL1","grey","M17_grey"
"MT2A","yellow","M6_yellow"
"MXRA5","salmon","M10_salmon"
"MXRA7","midnightblue","M12_midnightblue"
"MXRA8","tan","M3_tan"
"MYDGF","midnightblue","M12_midnightblue"
"MYH11","salmon","M10_salmon"
"MYH9","salmon","M10_salmon"
"MYL6","salmon","M10_salmon"
"MYLK","salmon","M10_salmon"
"MYOC","blue","M2_blue"
"MYRF","turquoise","M1_turquoise"
"NAGA","black","M7_black"
"NAGLU","magenta","M8_magenta"
"NAGPA","turquoise","M1_turquoise"
"NAV1","yellow","M6_yellow"
"NAXD","pink","M5_pink"
"NAXE","yellow","M6_yellow"
"NCMAP","tan","M3_tan"
"NCR3LG1","grey","M17_grey"
"NCSTN","red","M9_red"
"NDRG2","midnightblue","M12_midnightblue"
"NDRG4","turquoise","M1_turquoise"
"NDST1","blue","M2_blue"
"NECTIN2","grey","M17_grey"
"NECTIN3","turquoise","M1_turquoise"
"NEDD8","pink","M5_pink"
"NEFL_x","pink","M5_pink"
"NEFM","pink","M5_pink"
"NELL1","turquoise","M1_turquoise"
"NENF","turquoise","M1_turquoise"
"NEU1","black","M7_black"
"NHLRC3","black","M7_black"
"NIF3L1","yellow","M6_yellow"
"NLGN1","midnightblue","M12_midnightblue"
"NLGN2","red","M9_red"
"NLGN3","black","M7_black"
"NLGN4X","cyan","M14_cyan"
"NME1","pink","M5_pink"
"NME3","grey","M17_grey"
"NOMO3","grey","M17_grey"
"NOTCH1","grey","M17_grey"
"NOTCH2","blue","M2_blue"
"NOTCH3","turquoise","M1_turquoise"
"NPC1","black","M7_black"
"NPDC1","turquoise","M1_turquoise"
"NPEPPS","yellow","M6_yellow"
"NPNT","blue","M2_blue"
"NPTN","turquoise","M1_turquoise"
"NQO2","grey","M17_grey"
"NRG3","turquoise","M1_turquoise"
"NRGN","yellow","M6_yellow"
"NRN1","turquoise","M1_turquoise"
"NRN1L","turquoise","M1_turquoise"
"NRP1","turquoise","M1_turquoise"
"NRSN2","turquoise","M1_turquoise"
"NSF","yellow","M6_yellow"
"NSFL1C","purple","M15_purple"
"NSG1","midnightblue","M12_midnightblue"
"NSG2","turquoise","M1_turquoise"
"NT5E","black","M7_black"
"NTNG2","greenyellow","M13_greenyellow"
"NTRK3","turquoise","M1_turquoise"
"NUDC","yellow","M6_yellow"
"NUDT5","brown","M4_brown"
"NUTF2","yellow","M6_yellow"
"NXPH1","green","M11_green"
"NXPH3","midnightblue","M12_midnightblue"
"OLFM2","black","M7_black"
"OLFM3","red","M9_red"
"OLFML1","tan","M3_tan"
"OLFML2A","turquoise","M1_turquoise"
"OLFML2B","magenta","M8_magenta"
"OLFML3","tan","M3_tan"
"OPALIN","blue","M2_blue"
"OS9","tan","M3_tan"
"OSCAR","blue","M2_blue"
"OSMR","tan","M3_tan"
"OSTM1","brown","M4_brown"
"OTUB1","pink","M5_pink"
"OXT","tan","M3_tan"
"PAFAH1B1","pink","M5_pink"
"PALM","turquoise","M1_turquoise"
"PAMR1","tan","M3_tan"
"PAPPA2","midnightblue","M12_midnightblue"
"PARM1","grey","M17_grey"
"PBXIP1","grey","M17_grey"
"PCDH1","turquoise","M1_turquoise"
"PCDH10","turquoise","M1_turquoise"
"PCDH12","grey","M17_grey"
"PCDH17","green","M11_green"
"PCDH18","grey","M17_grey"
"PCDH19","turquoise","M1_turquoise"
"PCDH7","turquoise","M1_turquoise"
"PCDH9","green","M11_green"
"PCDHAC2","turquoise","M1_turquoise"
"PCDHB10","turquoise","M1_turquoise"
