"Protein","Module","Module_Name"
"SMPD1","black","M7_black"
"SMPDL3A","black","M7_black"
"SMPDL3B","cyan","M14_cyan"
"SNAP25","yellow","M6_yellow"
"SNAP91","yellow","M6_yellow"
"SNCA","pink","M5_pink"
"SNCB","pink","M5_pink"
"SNCG","pink","M5_pink"
"SNED1","blue","M2_blue"
"SNX12","grey","M17_grey"
"SORCS1","greenyellow","M13_greenyellow"
"SORL1","red","M9_red"
"SORT1","red","M9_red"
"SPESP1","blue","M2_blue"
"SPINK5","blue","M2_blue"
"SPINT1","cyan","M14_cyan"
"SPON2","tan","M3_tan"
"SPRN","turquoise","M1_turquoise"
"SPTA1","purple","M15_purple"
"SPTAN1","pink","M5_pink"
"SPTB","purple","M15_purple"
"SPTBN1","magenta","M8_magenta"
"SQSTM1","blue","M2_blue"
"SRGN","black","M7_black"
"SRPX","black","M7_black"
"SSC5D","grey","M17_grey"
"SST","turquoise","M1_turquoise"
"ST13","purple","M15_purple"
"ST3GAL6","brown","M4_brown"
"ST6GAL1","tan","M3_tan"
"ST6GALNAC1","turquoise","M1_turquoise"
"ST6GALNAC2","blue","M2_blue"
"ST6GALNAC5","turquoise","M1_turquoise"
"ST8SIA3","green","M11_green"
"ST8SIA5","midnightblue","M12_midnightblue"
"STAB1","tan","M3_tan"
"STC1","tan","M3_tan"
"STIP1","purple","M15_purple"
"STMN1","yellow","M6_yellow"
"STMN3","turquoise","M1_turquoise"
"STX12","turquoise","M1_turquoise"
"STX1B","yellow","M6_yellow"
"STX7","grey","M17_grey"
"STX8","yellow","M6_yellow"
"STYK1","grey","M17_grey"
"SUMF1","grey","M17_grey"
"SUMF2","grey","M17_grey"
"SV2A","turquoise","M1_turquoise"
"SV2B","grey","M17_grey"
"SVEP1","blue","M2_blue"
"SYN1","yellow","M6_yellow"
"SYT1","yellow","M6_yellow"
"SYT2","cyan","M14_cyan"
"SYT3","turquoise","M1_turquoise"
"SYT4","grey","M17_grey"
"SYT7","cyan","M14_cyan"
"TAC1","grey","M17_grey"
"TAC3","turquoise","M1_turquoise"
"TAGLN2","salmon","M10_salmon"
"TAGLN3","pink","M5_pink"
"TAX1BP1","turquoise","M1_turquoise"
"TBCA","pink","M5_pink"
"TBCB","pink","M5_pink"
"TCN2","tan","M3_tan"
"TENM1","cyan","M14_cyan"
"TENM2","greenyellow","M13_greenyellow"
"TENM3","greenyellow","M13_greenyellow"
"TENM4","greenyellow","M13_greenyellow"
"TFF3","tan","M3_tan"
"TFPI","blue","M2_blue"
"TFRC","blue","M2_blue"
"TGFB1","salmon","M10_salmon"
"TGFB2","magenta","M8_magenta"
"TGFBR2","tan","M3_tan"
"TGM2","salmon","M10_salmon"
"THBS1","salmon","M10_salmon"
"THBS2","magenta","M8_magenta"
"THBS3","tan","M3_tan"
"THBS4","grey","M17_grey"
"THOP1","pink","M5_pink"
"THSD4","tan","M3_tan"
"THSD7A","blue","M2_blue"
"TIE1","grey","M17_grey"
"TIMP3","grey","M17_grey"
"TIMP4","cyan","M14_cyan"
"TINAGL1","blue","M2_blue"
"TKT","pink","M5_pink"
"TLN1","salmon","M10_salmon"
"TM9SF3","turquoise","M1_turquoise"
"TMED2","turquoise","M1_turquoise"
"TMED3","grey","M17_grey"
"TMED4","turquoise","M1_turquoise"
"TMED7","turquoise","M1_turquoise"
"TMEFF1","turquoise","M1_turquoise"
"TMEFF2","turquoise","M1_turquoise"
"TMEM108","grey","M17_grey"
"TMEM130","red","M9_red"
"TMEM132B","turquoise","M1_turquoise"
"TMEM132C","greenyellow","M13_greenyellow"
"TMEM132D","turquoise","M1_turquoise"
"TMEM132E","midnightblue","M12_midnightblue"
"TMEM165","grey","M17_grey"
"TMEM178A","midnightblue","M12_midnightblue"
"TMEM25","green","M11_green"
"TMEM59","turquoise","M1_turquoise"
"TMEM59L","turquoise","M1_turquoise"
"TMPRSS5","black","M7_black"
"TMSB4X","yellow","M6_yellow"
"TNC","magenta","M8_magenta"
"TNFRSF12A","yellow","M6_yellow"
"TNFRSF14","grey","M17_grey"
"TNFRSF1A","grey","M17_grey"
"TNFSF12","turquoise","M1_turquoise"
"TNFSF13","grey","M17_grey"
"TNFSF13B","tan","M3_tan"
"TOLLIP","yellow","M6_yellow"
"TOM1L2","pink","M5_pink"
"TPBG","turquoise","M1_turquoise"
"TPD52","yellow","M6_yellow"
"TPM1","salmon","M10_salmon"
"TPM3","purple","M15_purple"
"TPM4","salmon","M10_salmon"
"TPPP3","magenta","M8_magenta"
"TPST1","grey","M17_grey"
"TPT1","pink","M5_pink"
"TREM2","salmon","M10_salmon"
"TREML1","red","M9_red"
"TRHDE","red","M9_red"
"TRIL","grey","M17_grey"
"TTR","magenta","M8_magenta"
"TUBA4A","magenta","M8_magenta"
"TUBB","magenta","M8_magenta"
"TUBB4A","magenta","M8_magenta"
"TWF2","yellow","M6_yellow"
"TXNDC12","grey","M17_grey"
"TXNDC17","yellow","M6_yellow"
"TXNDC5","grey","M17_grey"
"TXNL1","pink","M5_pink"
"TXNRD1","pink","M5_pink"
"TYRO3","turquoise","M1_turquoise"
"UBA1","purple","M15_purple"
"UBB","yellow","M6_yellow"
"UBE2L3","pink","M5_pink"
"UBE2N","pink","M5_pink"
"UBE2V1","yellow","M6_yellow"
"UBL3","turquoise","M1_turquoise"
"UBQLN2","pink","M5_pink"
"UCHL1","pink","M5_pink"
"UFM1","pink","M5_pink"
"UGGT1","grey","M17_grey"
"ULBP2","red","M9_red"
"UNC5A","turquoise","M1_turquoise"
"UNC5B","turquoise","M1_turquoise"
"UNC5C","turquoise","M1_turquoise"
"UNC5D","turquoise","M1_turquoise"
"UQCC3","midnightblue","M12_midnightblue"
"USP14","purple","M15_purple"
"VAMP2","grey","M17_grey"
"VAPA","yellow","M6_yellow"
"VASN","yellow","M6_yellow"
"VAT1L","midnightblue","M12_midnightblue"
"VCAM1","tan","M3_tan"
"VCL","salmon","M10_salmon"
"VCP","purple","M15_purple"
"VEGFA","midnightblue","M12_midnightblue"
"VEGFC","green","M11_green"
"VIM","salmon","M10_salmon"
"VIP","turquoise","M1_turquoise"
"VIT","tan","M3_tan"
"VLDLR","red","M9_red"
"VMO1","tan","M3_tan"
"VNN1","blue","M2_blue"
"VPS29","blue","M2_blue"
"VSNL1","yellow","M6_yellow"
"VWA1","grey","M17_grey"
"VWA7","greenyellow","M13_greenyellow"
"VWC2","turquoise","M1_turquoise"
"VWC2L","turquoise","M1_turquoise"
"VWF","grey","M17_grey"
"WBP2","turquoise","M1_turquoise"
"WDR1","salmon","M10_salmon"
"CCN5","salmon","M10_salmon"
"WSCD1","midnightblue","M12_midnightblue"
"WSCD2","cyan","M14_cyan"
"XXYLT1","turquoise","M1_turquoise"
"XYLT1","red","M9_red"
"XYLT2","black","M7_black"
"YIPF3","turquoise","M1_turquoise"
"YKT6","pink","M5_pink"
"YWHAB","pink","M5_pink"
"YWHAE","pink","M5_pink"
"YWHAG","pink","M5_pink"
"YWHAH","pink","M5_pink"
