"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"FAT2",-0.00529066985698613,-0.0595502054849059,0.0489688657709337,0.115093254721213,0.908371206328414,0.709616641103305,-0.00557605872433266,-0.0252512828369763,0.015931238281674,7,789,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.956578459259574
"ADGRB3",5.1618470393925e-05,-0.0555964422069758,0.0556996791477636,0.1141891975542,0.909087814999149,0.418767268436648,5.85969997454112e-05,-0.0271595965677136,0.0230125988329649,7,665,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.956578459259574
"NDST1",0.0348387169532929,-0.00940718990843674,0.0790846238150225,0.112847434317902,0.910151511350646,0.86430453678659,0.0406914005933646,-3.99206633183175e-05,0.0789005565860484,7,650,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.956578459259574
"TMEM59",-0.018877070969502,-0.0790604808299768,0.0413063388909728,-0.112580193697876,0.910363388345567,0.690574238643796,NA,NA,NA,4,397,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",2,"study_1; study_11",0.973191918108174
"IGFALS",0.0264791312343935,-0.0549874964722673,0.107945758941054,-0.112261970441174,0.910615694335049,0.604994632444339,0.0299856486874751,-0.0184587502676893,0.0529013302955647,7,668,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.956578459259574
"DPP4",-0.0137987683906785,-0.0945659403851851,0.0669684036038281,0.11180944827452,0.910974495862709,0.799593959334687,NA,NA,NA,6,799,"study_1_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_1; study_8",0.973191918108174
"CTSB",-0.000350722670546722,-0.0422173719689415,0.0415159266278481,0.110941201429493,0.91166297322835,0,-0.000782618944780355,-0.0103325280975631,0.0108670291126881,8,818,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.956578459259574
"LRP8",0.00132295465930163,-0.0460551372297689,0.0487010465483722,0.109669137231205,0.912671777660917,0,6.28132390761421e-05,-0.0152750355050574,0.014805039875987,6,578,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",3,"study_1; study_11; study_4",0.988451742152796
"CILP",0.00220502544848174,-0.124946916102083,0.129356966999047,0.108384230883257,0.913690909376137,0.0695258167426277,0.020014998914884,-0.0249179105774366,0.0757051639829173,3,210,"study_11_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_11; study_3_Soma; study_7",0.988451742152796
"EFNA3",-0.00450110704951252,-0.0565955954507641,0.0475933813517391,-0.107739082463369,0.91420266661414,0,-0.00555688630935876,-0.0282515761170804,0.00839079503734853,7,628,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.957358445976595
