"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"FXYD6",-0.00349861611600463,-0.0296415358808216,0.0226443036488124,-0.708054382687753,0.478911486452311,0.672322793407046,-0.00415379843769905,-0.0286691012746969,0.02140302892956,7,1357,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.592122288848502
"RNASE3",0.0505769442769485,-0.1052786868608,0.206432575414697,0.706823003416787,0.479676477431773,0,0.0407985026251369,0.0149760856416647,0.0551837354819095,5,381,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_7_LOAD_vs_CN",3,"study_11; study_2; study_7",0.598100604869205
"STIP1",0.0197735767983473,-0.0662575206152438,0.105804674211938,0.705730000230866,0.480356060705058,0,0.0207263912113259,0.0157502539780359,0.0268880986033884,6,882,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",3,"study_1; study_11; study_7",0.598100604869205
"TENM2",0.0104960991536042,-0.0327740298306886,0.053766228137897,0.705061799201603,0.480771778237307,0.230850121788176,NA,NA,NA,4,1004,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.686795469616187
"SEMA4C",0.00677623939715206,-0.0168698971916582,0.0304223759859623,0.705060333980889,0.480772690031466,0.662115587489674,0.00585409287573408,-0.00471438533221259,0.0143025934508036,9,1848,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",4,"study_1; study_11; study_7; study_8",0.59350044809785
"OLFML2A",0.00684779387139901,-0.0130021678090426,0.0266977555518406,0.703985074086869,0.481442068870251,0,0.00750885801118456,0.00126145538190804,0.0158723251915014,5,1232,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",3,"study_1; study_11; study_7",0.598155297687281
"MEGF11",0.0189408012060542,-0.0409332908240641,0.0788148932361726,0.703361725804691,0.481830352437177,0,NA,NA,NA,3,785,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN",2,"study_1; study_11",0.686795469616187
"LRP2",0.0137312685950514,-0.025831682261399,0.0532942194515018,0.703281149753594,0.48188055567873,0,NA,NA,NA,5,921,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.686795469616187
"SCN4B",-0.00722424193776276,-0.0315023979872146,0.0170539141116891,-0.701685735369631,0.482875170833717,0,-0.0080955804193848,-0.0159122258035549,-0.00239451401235676,6,1346,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.595171722190396
"NAGK",0.0300806052764049,-0.0814908819480224,0.141652092500832,0.700469980047464,0.483633846494532,0,NA,NA,NA,3,442,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN",2,"study_11; study_2",0.688247763272172
