"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"EPHB4",-0.0135589123220404,-0.0898269905533912,0.0627091659093105,-0.226652984220409,0.820693588800259,0,-0.0126726048072306,-0.0274223201073386,-3.64053884496247e-05,8,1479,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_5_EOD_vs_CN; study_8_EOD_vs_CN; study_9_EOD_vs_CN",3,"study_1; study_11; study_8",0.937836944321207
"CPXM1",0.00605036953151398,-0.0643670690517411,0.0764678081147691,0.225665341441933,0.821461716271417,0.2326808931455,0.00571664659638068,-0.027611036034769,0.0390175232912605,10,1748,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN; study_8_EOD_vs_CN; study_9_EOD_vs_CN",5,"study_1; study_11; study_6; study_7; study_8",0.894012466141542
"ITGBL1",-0.0159438718550929,-0.0626981513058459,0.0308104075956601,-0.225046245740646,0.821943297965361,0.277621515421329,-0.0144856439028101,-0.0326448596379663,0.0184615724046176,6,1151,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN",4,"study_1; study_11; study_4; study_6",0.882678024416004
"IFNAR1",-0.011873626641452,-0.0716975708690652,0.0479503175861612,-0.224578133316822,0.822307477461488,0,-0.0105434117790551,-0.022485473209117,0.00309536583612203,6,959,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN",3,"study_1; study_11; study_6",0.937836944321207
"KRT77",-0.0417454750380014,-0.303018163796402,0.219527213720399,-0.222553068189781,0.823883366461749,0,NA,NA,NA,3,174,"study_2_EOD_vs_CN; study_5_EOD_vs_CN; study_7_EOD_vs_CN",2,"study_2; study_7",0.946563562763939
"PSMA7",-0.00861366738775687,-0.104541090704344,0.0873137559288303,0.222360772487714,0.824033046420649,0.624754020353829,-0.00740846107821843,-0.0489365507893731,0.016231077253202,5,767,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_6_EOD_vs_CN",3,"study_1; study_11; study_6",0.937836944321207
"SFTPD",-0.0153376660162992,-0.150704662181386,0.120029330148787,-0.222085732486997,0.82424714436659,0,NA,NA,NA,4,451,"study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN",2,"study_11; study_2",0.946563562763939
"ADAMTS13",-0.0170980742188386,-0.188928668676087,0.15473252023841,-0.221581142841383,0.824639963433473,0,-0.0157878266634961,-0.0227444899670529,-0.00889254503729657,4,376,"study_11_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_6_EOD_vs_CN",3,"study_11; study_3_Soma; study_6",0.937836944321207
"IGHV3-64D",0.000484064795119244,-0.073674696041786,0.0746428256320245,-0.221028244332647,0.825070440998052,0.797003777473682,0.0024613181484192,-0.0464883004112348,0.0374746067517044,6,1218,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.895614071040548
"IGKV1D-17",0.023595988055298,-0.12474297800644,0.171934954117036,0.220823326544885,0.825229999941882,0.159587094196263,NA,NA,NA,2,615,"study_1_EOD_vs_CN; study_11_EOD_vs_CN",2,"study_1; study_11",0.946563562763939
"MIA",0.0227708252798349,-0.0489865411376333,0.0945281916973032,-0.220813454668505,0.825237686846725,0.54766233361636,0.0223531783138422,-0.00818013759665099,0.0343628974357305,11,2014,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN; study_8_EOD_vs_CN; study_9_EOD_vs_CN",6,"study_1; study_11; study_4; study_6; study_7; study_8",0.872066005780883
"C8B",0.00769175589559307,-0.0591602728920645,0.0745437846832506,-0.21986694073472,0.825974783776122,0.529338162366397,0.00768474470397569,-0.0220333475932363,0.0536138417881107,8,1436,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.895614071040548
"MTPN",0.0224774072461508,-0.21079799895138,0.255752813443682,0.219435067784987,0.826311155478393,0,NA,NA,NA,2,292,"study_11_EOD_vs_CN; study_2_EOD_vs_CN",2,"study_11; study_2",0.946563562763939
"SVEP1",-0.00545877556969366,-0.0562937440492432,0.0453761929098559,-0.218763554388882,0.826834238577473,0,-0.0047459878870383,-0.0137311432998054,0.00123448101225783,6,1004,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN",3,"study_1; study_11; study_6",0.937836944321207
"OMD",0.00818241219268615,-0.0283113810220183,0.0446762054073906,0.218512611484455,0.827029733181871,0.533561541647525,0.00801616449364294,0.00206540457649845,0.0142932738849008,12,2243,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN; study_8_EOD_vs_CN; study_9_EOD_vs_CN",6,"study_1; study_11; study_4; study_6; study_7; study_8",0.872066005780883
