"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"SLPI",0.0578009006527699,-0.00187112832133674,0.117472929626877,1.81298789680087,0.0698336880814619,0.966090169934225,0.0601523263831034,-0.0703609116365943,0.177791341039568,7,813,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD",4,"study_1; study_11; study_4; study_6",0.318245383449337
"TPM1",-0.105730309913302,-0.199167488473241,-0.0122931313533633,-1.81272267877936,0.069874604798834,0.896547539128025,-0.106095011702025,-0.233281629228492,0.0234105687562389,6,574,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",4,"study_1; study_11; study_6; study_7",0.318245383449337
"FCGR3B",-0.076658009451989,-0.153330625721062,1.46068170844837e-05,-1.81188300987069,0.0700042751633257,0,-0.0856983611824979,-0.135924898832156,-0.0473033612217116,7,1178,"study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_7_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",4,"study_11; study_2; study_7; study_8",0.318245383449337
"PLOD3",0.0495534878556968,0.00495671767075911,0.0941502580406345,1.80986451471128,0.0703168002317731,0.74341117684714,0.048854327612687,0.00441744360340995,0.0753070853806253,7,739,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",4,"study_1; study_11; study_6; study_7",0.318245383449337
"PCDH1",-0.0219502797043479,-0.0548099163639438,0.010909356955248,-1.80772776820241,0.0706488805848742,0.723529963689182,-0.0220776838662655,-0.0390165967713381,0.00124316040210134,9,917,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.218162732348095
"LILRB1",-0.0578045718510324,-0.11187948264504,-0.00372966105702498,-1.80674339226152,0.0708022986114351,0.696673709110225,-0.0551289289449631,-0.0752913151172546,-0.0314572672945229,9,1436,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",4,"study_1; study_11; study_6; study_8",0.318245383449337
"RCN2",-0.0393270342020376,-0.080098023482857,0.00144395507878187,-1.80664773259801,0.0708172220187535,0.616899711122451,-0.0393601049679931,-0.0578152633390509,-0.0242026421753371,7,811,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.218162732348095
"NOMO3",-0.0285779707798783,-0.0642944605195877,0.00713851895983109,-1.80529619976519,0.0710283440064584,0,-0.0272860114911254,-0.0343180921569307,-0.0217890639975436,4,471,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_7_EOD_vs_LOD",3,"study_1; study_11; study_7",0.423377468135731
"SERPINA1",0.0655813029162546,-0.0172186153966665,0.148381221229176,1.80321833989032,0.0713539313108415,0.572195491594217,0.0665901254637905,0.0195465182394556,0.104544314590618,9,1012,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.218933347475835
"MMP16",0.0688003064213356,-0.0013945959779896,0.138995208820661,1.80223073131092,0.0715091115551336,0.268364191684921,NA,NA,NA,4,482,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD",2,"study_1; study_11",0.490438596948925
