"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"DPP6",-0.0845231939845394,0.0725705773886565,1.35653387387418,0.250779036098197,0.614820200129192,"EODLB_vs_CN",222,"study_9"
"NID2",-0.183656129043092,0.0999080911635065,3.37916602339919,0.0724200028288696,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"CHL1",-0.224164134984211,0.111208417501708,4.06309462496838,0.0504436685845824,0.370500048569519,"EODLB_vs_CN",222,"study_9"
"GFRA2",-0.141421573679605,0.0563089157991108,6.30778672166361,0.0160225745194472,0.277593348052851,"EODLB_vs_CN",222,"study_9"
"VCAN",-0.107357071753619,0.0864043681441922,1.54379602103331,0.220720482229697,0.589812847136581,"EODLB_vs_CN",222,"study_9"
"ENO2",0.00410933630032861,0.0720971710890733,0.00324867989131203,0.954822099857695,0.98091852380879,"EODLB_vs_CN",222,"study_9"
"SEZ6L",-0.0516411327338817,0.0288899048242467,3.19520919609932,0.0816582798023641,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"CTSF",-0.192594503142434,0.104256355346034,3.41257887778078,0.0713091803342438,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"SELENOP",-0.207115742712829,0.138957274194565,2.22158865233291,0.143224881416224,0.507536309221736,"EODLB_vs_CN",222,"study_9"
"PODXL2",-0.0806374704555921,0.0441668015002795,3.33335749155312,0.0747801279280872,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"PEBP1",0.00411488617532907,0.0917856246966413,0.0020098623584649,0.964434393833706,0.981715949571822,"EODLB_vs_CN",222,"study_9"
"CDH6",-0.279944885612829,0.0993030562390493,7.94730435694084,0.00734597927262442,0.235255031364793,"EODLB_vs_CN",222,"study_9"
"EFEMP1",-0.061543002257566,0.122997233619654,0.250360995638727,0.61963093457185,0.87598267077746,"EODLB_vs_CN",222,"study_9"
"LTBP2",-0.0830950463868421,0.0967586295679474,0.737514990236665,0.394922477222211,0.758601846262531,"EODLB_vs_CN",222,"study_9"
"ROBO1",-0.323100963514145,0.129478788400769,6.22700554680291,0.0162164654970326,0.277593348052851,"EODLB_vs_CN",222,"study_9"
"THY1",0.0220964841782898,0.0150680305425936,2.15046991678137,0.150403088482085,0.519500397513796,"EODLB_vs_CN",222,"study_9"
"PAM",-0.497311610431908,0.134621496102331,13.6467228517495,0.000685315480748005,0.0547395740247469,"EODLB_vs_CN",222,"study_9"
"SIRPA",-0.0702078477296055,0.118687048985635,0.349916688569377,0.5559883020397,0.83659542234162,"EODLB_vs_CN",222,"study_9"
"QDPR",-0.021395254064803,0.0685095923049705,0.0975286313994692,0.756247611675656,0.924034967784426,"EODLB_vs_CN",222,"study_9"
"FRZB",0.0108286953967105,0.0331685860121651,0.106585557075512,0.745535973488458,0.924034967784426,"EODLB_vs_CN",222,"study_9"
"SEMA7A",-0.117282664179605,0.0700626992289924,2.80216636476066,0.100609682149403,0.435796003425557,"EODLB_vs_CN",222,"study_9"
"MCFD2",-0.0283510965243421,0.0270894309035502,1.09531732801056,0.301170467958904,0.65906825008815,"EODLB_vs_CN",222,"study_9"
"PRCP",0.30518189772204,0.10025327178986,9.26660025896282,0.00369001442128004,0.184974781296634,"EODLB_vs_CN",222,"study_9"
"MEGF9",-0.156941829151974,0.0968798226422102,2.62428349992317,0.112299884022111,0.4599976018598,"EODLB_vs_CN",222,"study_9"
"CSF1",-0.00300885206973689,0.0660442282347247,0.00207554394591271,0.963853721666429,0.981715949571822,"EODLB_vs_CN",222,"study_9"
"DKK3",0.0130420573513153,0.0213809944996128,0.372080069575298,0.54483518795299,0.83437098040416,"EODLB_vs_CN",222,"study_9"
