"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"LRFN5",-0.0129939194880154,-0.198735248081546,0.172747409105516,-0.172306028729143,0.863196944999281,0,NA,NA,NA,2,328,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN",2,"study_11; study_2",0.957215921721165
"C1S",-0.000669259906469539,-0.0340803980899531,0.032741878277014,-0.172077947727819,0.863376249313123,0.445680016157209,-0.00228289605579207,-0.0225587069913991,0.0143487443673871,8,1231,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.9156668700656
"SUGT1",-0.0301637632534694,-0.186229366940276,0.125901840433337,0.170650020593148,0.86449896401537,0.895895371456294,NA,NA,NA,4,415,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_11; study_2",0.957215921721165
"ITGB5",-0.00687595639599778,-0.0947739105742731,0.0810219977822775,-0.170493567673335,0.864621992561493,0,NA,NA,NA,3,622,"study_3_Olink_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_3_Olink; study_8",0.957215921721165
"NEFH",-0.0630511993343199,-0.426811571532673,0.300709172864033,0.169854974522105,0.86512419160652,0.878653091886422,NA,NA,NA,3,358,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN",2,"study_11; study_2",0.957215921721165
"ATP1A1",0.00364747539015975,-0.0413818531290738,0.0486768039093933,0.169572755873446,0.865346149871026,0,0.00332984253962296,-0.00319611454730351,0.00986965563781265,5,886,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",3,"study_1; study_11; study_7",0.936485343486074
"PYGB",0.049312289141954,-0.0883576802933311,0.186982258577239,0.169040209794162,0.865765013634839,0.764589375586443,NA,NA,NA,5,637,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_1; study_11",0.957215921721165
"IGLV3-1",0.0132469949854161,-0.112670701551721,0.139164691522553,-0.168895899473112,0.865878524610367,0.703115909883984,NA,NA,NA,2,698,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN",2,"study_1; study_11",0.957215921721165
"TGFB1",-0.0188822784367985,-0.0990291352575513,0.0612645783839542,-0.168789867128121,0.865961928827753,0.750621135873036,-0.0195893738718369,-0.0445296789361785,0.0260172452859447,8,1378,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",3,"study_1; study_11; study_8",0.936485343486074
"FN3KRP",0.0134664086511518,-0.268387929847244,0.295320747149548,0.164197455593447,0.86957570406588,0,NA,NA,NA,2,257,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN",2,"study_11; study_2",0.958627774811962
"CTHRC1",0.00876709608107985,-0.0700168065806133,0.0875509987427731,-0.163481656644504,0.870139214729086,0.297477939073123,NA,NA,NA,5,785,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_1; study_11",0.958627774811962
"SDF4",0.000599419171806514,-0.023394984793378,0.024593823136991,-0.162645678174562,0.87079741983791,0,0.00046322833565787,-0.00541403449027886,0.00612870598401774,7,1144,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.922296191978862
"APOC4",0.0434970174820745,-0.171279075546484,0.258273110510633,0.162526299986719,0.870891419204866,0,NA,NA,NA,3,564,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN",2,"study_1; study_11",0.958627774811962
"STC1",-0.00136786150515605,-0.0873389202934518,0.0846031972831397,-0.162492828596623,0.870917775180144,0,-0.00159961426560731,-0.0157759459257757,0.00638255553764993,7,1207,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",3,"study_1; study_11; study_8",0.940064366026205
"EIF4G3",-0.00499041794703129,-0.100219720663834,0.0902388847697717,-0.162294465862236,0.871073972510165,0,NA,NA,NA,2,716,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN",2,"study_1; study_11",0.958627774811962
"WFIKKN1",-0.00778878774165636,-0.0769091776966122,0.0613316022132995,-0.161462347325055,0.871729264690649,0,NA,NA,NA,3,622,"study_3_Olink_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_3_Olink; study_8",0.958627774811962
"MAN2B2",0.020251117169836,-0.0365098154390138,0.0770120497786859,0.159830806390547,0.873014356040011,0.416509888814876,0.0226318588732866,0.00141788020913017,0.0526921621516748,7,1001,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.9230853993925
"LY96",-0.00877978640110688,-0.116097152426239,0.098537579624025,0.159625488108332,0.873176099819715,0.826895085225548,-0.00520811415429778,-0.0314549665452817,0.0152675977156155,5,652,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",3,"study_1; study_11; study_7",0.940567978756287
"AK1",0.00271456431333968,-0.0995920803007295,0.105021208927409,0.159485734462315,0.873286196715771,0,NA,NA,NA,5,820,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_1; study_11",0.95921473490089
"L1CAM",-0.00429852132159086,-0.0479109969938114,0.0393139543506297,-0.158725158070135,0.873885416176149,0,-0.00331007280690653,-0.0135771392802053,0.0056447387554452,9,1257,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.9230853993925
"FZD3",0.0576745111759124,-0.314990674233296,0.430339696585121,0.157756364370231,0.874648784181877,0.275140181798266,NA,NA,NA,3,400,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_11; study_2",0.95921473490089
"NCS1",-0.0308652896720206,-0.314234648701903,0.252504069357862,-0.157299440449222,0.875008861226385,0,NA,NA,NA,2,257,"study_11_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN",2,"study_11; study_3_Olink",0.95921473490089
"FCN2",0.012944082270613,-0.155221213104668,0.181109377645894,-0.157116183297385,0.875153283558017,0,0.00694269346796223,-0.0567285837144756,0.0620106992874574,6,1075,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",3,"study_11; study_2; study_8",0.940567978756287
"B4GALNT1",0.00443680548060929,-0.0491482504145699,0.0580218613757885,0.155628279463742,0.876326032746663,0.0612811646239217,0.0081380463879347,-0.0110053411459139,0.0285952090460174,5,900,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",3,"study_1; study_11; study_7",0.940567978756287
"ADAMTS15",0.0132334661590146,-0.100978653695318,0.127445586013348,0.154710209351001,0.877049781009831,0,NA,NA,NA,3,622,"study_3_Olink_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_3_Olink; study_8",0.960348745219718
"DPEP2",0.0119251809558561,-0.123963176123999,0.147813538035711,0.153490379037799,0.878011576824244,0,NA,NA,NA,3,443,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN",2,"study_11; study_2",0.960348745219718
"EPHA2",0.00598976335569734,-0.0572879747253169,0.0692675014367116,0.152500227596779,0.878792410940563,0,NA,NA,NA,4,649,"study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_3_Soma; study_8",0.960348745219718
"IGLV4-69",0.0265568247812932,-0.0943057596489244,0.147419409211511,-0.151008658447404,0.879968885773518,0.774224796841961,0.014657200106395,-0.139086310968849,0.128845801204047,4,897,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",3,"study_1; study_11; study_7",0.942705879505964
"TPP1",-0.00113064655425312,-0.0508273708429316,0.0485660777344254,-0.149969433114761,0.880788731323672,0,-0.00203875194713032,-0.031574699564049,0.0102312594208556,11,1844,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",0.933373133193742
"SEMA4C",0.000636950852710656,-0.0388174717969979,0.0400913735024193,0.149633322699499,0.881053916441294,0.588234589900158,0.000779292785359611,-0.0109419186838112,0.0188353416697632,9,1532,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",4,"study_1; study_11; study_7; study_8",0.929411628053199
"PLOD2",-0.0155639542540561,-0.200928415271876,0.169800506763764,-0.14639818279632,0.883607061774395,0,NA,NA,NA,3,408,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN",2,"study_11; study_2",0.964604375770381
"C1QTNF5",0.00808564949347651,-0.0343373691337718,0.0505086681207248,0.145587712623392,0.884246868532212,0,0.00757459149078757,-0.00534001591720721,0.0179778738869006,7,1028,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.931532797330726
"CPM",0.0138772139151143,-0.0397965066767385,0.0675509345069672,-0.144615693818527,0.885014305621325,0.666290943779052,0.0147623668038308,-0.0200968148184675,0.0369169310249248,8,1459,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",3,"study_1; study_11; study_8",0.944254910037374
"AGA",-0.00261534203403398,-0.0594368438835578,0.0542061598154899,-0.143928008801087,0.885557318129039,0,-0.00154830214838181,-0.0105420554356719,0.0134283343379678,8,1229,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.931667779286626
"PRAP1",-0.00475606465636915,-0.0774995841376606,0.0679874548249222,-0.142446830263792,0.886727074291732,0.726692827674666,-0.00387486409479176,-0.0533484111567272,0.0230571324695801,7,1569,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",0.935014192198707
"FGFBP2",0.00598480745454615,-0.090947941492751,0.102917556401843,0.141496711885114,0.887477557445823,0,0.00585663508954839,0.0021886875440241,0.0117091299256181,5,753,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",3,"study_1; study_11; study_7",0.944254910037374
"CPA1",0.017195733503988,-0.150409263297011,0.184800730304987,0.141113489743501,0.887780287016465,0.669652777250282,NA,NA,NA,3,622,"study_3_Olink_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_3_Olink; study_8",0.96722767568209
